Search Term,Date,Hour,Minute,User ID,Total Unique Searches,Search Depth,Time after Search
AI,20180511,09,08,b1aac45d-55df-e711-810b-c4346bdca201,1,0,695.00
aisa,20180628,16,37,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,2.00
aladdin,20180511,09,30,38f0813a-9254-e811-bd6d-00155d9b4cc4,1,0,0.00
all cap,20180502,14,36,2b36d866-522c-e811-810e-c4346bdc0301,1,0,0.00
Allianz,20180529,02,43,U00123T,1,0,84.00
allocation by region,20180615,17,04,U000EQN,1,0,0.00
allstate,20180410,10,22,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,198.00
alst,20180402,05,55,Anonymous-User,1,0,3.00
alternative,20180418,06,17,deb26090-2fbd-e611-80fa-5065f38a5961,1,0,0.00
alternative,20180425,11,02,2b36d866-522c-e811-810e-c4346bdc0301,1,0,8.00
alternative,20180426,21,50,U001KQ9,1,5,1320.00
alternative,20180503,02,16,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,11,900.00
alternative,20180529,06,21,U0003LX,1,0,467.00
alternative,20180601,16,48,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,0.00
alternative,20180618,23,06,U001DUS,1,1,26.00
alternative,20180618,23,46,U001DUS,1,5,503.00
alternative assests under management,20180402,05,54,Anonymous-User,1,0,6.00
alternative investments,20180502,14,13,Anonymous-User,1,4,257.00
alternative investments,20180620,18,14,U001D6G,1,0,578.00
alternative investments,20180621,17,18,U001D6G,1,0,0.00
alternative investments,20180628,16,36,01ab5779-8857-e711-9400-00155d615d9c,1,1,24.00
alternative investments,20180629,14,18,U001D6G,1,0,1471.00
Alternative Investments,20180629,09,11,U001D6G,1,0,0.00
alternatives,20180403,18,32,U0000S8,1,0,255.00
alternatives,20180418,05,17,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,0,356.00
alternatives,20180425,11,01,2b36d866-522c-e811-810e-c4346bdc0301,1,2,48.00
alternatives,20180427,18,32,U001HPR,1,2,2145.00
alternatives,20180428,21,47,323cd243-cfe5-e711-9403-00155d9b700f,1,0,382.00
alternatives,20180503,02,31,7b51ecbf-90bc-e611-80fb-5065f38be1c1,1,0,0.00
alternatives,20180530,11,17,U001DRV,1,6,2020.00
Alternatives,20180403,10,38,Anonymous-User,1,0,0.00
Alternatives,20180403,15,49,d8a4573a-2ee3-e611-9401-00155d611ed3,1,0,3.00
Alternatives,20180406,16,41,Anonymous-User,1,3,80.00
Alternatives,20180406,16,43,Anonymous-User,1,6,356.00
Alternatives,20180411,15,02,75a753d4-cecb-e711-8109-c4346bdca201,1,0,102.00
Alternatives,20180420,10,42,Anonymous-User,1,1,38.00
Alternatives,20180424,21,49,a81fef3c-e0eb-e611-93ff-00155d611931,1,0,165.00
Alternatives,20180425,14,11,5d1e5900-f147-e811-a822-00155d9b3b30,1,0,892.00
Alternatives,20180507,17,18,Anonymous-User,1,3,285.00
Alternatives,20180508,17,23,Anonymous-User,1,0,0.00
Alternatives,20180511,11,31,1b7b8635-1d55-e811-bd6d-00155d9b4cc4,1,0,0.00
Alternatives,20180516,19,20,75a753d4-cecb-e711-8109-c4346bdca201,1,0,0.00
Alternatives,20180522,15,00,Anonymous-User,1,3,227.00
Alternatives,20180523,08,41,Anonymous-User,1,5,200.00
Alternatives,20180524,12,44,ddb169eb-f35e-e811-bd6d-00155d9b4cc4,1,1,95.00
Alternatives,20180526,14,43,Anonymous-User,1,1,119.00
Alternatives,20180613,01,42,7d6aacd8-5d38-e811-bbd3-00155d9b6fb4,1,0,0.00
Alternatives,20180619,00,34,U001DUS,1,0,0.00
Alternatives,20180619,05,36,U001DUS,1,1,0.00
Alternatives,20180625,11,35,Anonymous-User,1,0,0.00
Alternatives,20180627,14,15,Anonymous-User,1,3,439.00
alternatives assets,20180427,20,49,U001HPR,1,0,9.00
alts,20180402,05,55,Anonymous-User,1,0,372.00
amazon,20180405,13,28,U0000HO,1,0,20.00
amazon,20180410,01,55,Anonymous-User,1,0,14.00
amazon,20180410,07,17,Anonymous-User,1,1,59.00
amazon,20180511,06,53,Anonymous-User,1,5,72.00
amazon,20180511,09,12,U0004FV,1,0,20.00
amazon,20180511,10,49,Anonymous-User,1,0,3.00
Amazon,20180426,12,28,U001LCE,1,0,14.00
amazon is not coming,20180410,01,56,Anonymous-User,1,0,0.00
American Funds,20180620,17,52,4af56686-3c73-e811-9cca-00155d9b44f8,1,2,73.00
American Fundw,20180620,17,53,4af56686-3c73-e811-9cca-00155d9b44f8,1,0,8.00
americh massena,20180504,12,11,Anonymous-User,1,4,33.00
ameritrade,20180426,15,15,c5efcf93-2c56-e711-8107-5065f38afab1,1,4,59.00
"Among ESG users, only 19% state that sustainable investment returns are a major factor driving their demand for ESG",20180625,12,25,U0016UA,1,1,14.00
amundi,20180611,06,22,48e954c6-d6f4-e611-93ff-00155d611931,1,1,32.00
